=== Bavarian lake wind — daily run 2026-08-01 15:34  ===
forecast day: 2026-08-01   |   learning from: 2026-07-31

========================================================================
STEP 1 — SELF-LEARNING FROM YESTERDAY  (runs before any new forecast)
========================================================================
### Learning — ammersee (from 2026-07-31): skipped — no forecast was logged for that day

### Learning — kochelsee (from 2026-07-31): skipped — no forecast was logged for that day

### Learning — walchensee (from 2026-07-31): skipped — no forecast was logged for that day

========================================================================
STEP 2 — NEW FORECASTS  (built from the just-updated model)
========================================================================

Ammersee — 2026-08-01
  dominant gradient; peak 8 kn (3 Bft) NW ~19h
  Hour | Dir  | Mean kn (Bft) | Gust kn | Regime   | Conf | Note
  00   | SE   |     4.7 (2) |  16.1   | gradient | med  | raw (no local calib yet)
  01   | SSE  |     0.6 (0) |   8.9   | calm     | med  | glassy
  02   | SE   |     2.1 (1) |   4.9   | gradient | med  | raw (no local calib yet)
  03   | W    |     2.4 (1) |   3.9   | gradient | med  | raw (no local calib yet)
  04   | SW   |     5.7 (2) |  11.1   | gradient | med  | raw (no local calib yet)
  05   | WSW  |     5.8 (2) |  14.6   | gradient | med  | raw (no local calib yet)
  06   | SSW  |     3.4 (1) |  10.3   | gradient | med  | raw (no local calib yet)
  07   | S    |     5.0 (2) |   9.9   | gradient | med  | raw (no local calib yet)
  08   | SSW  |     3.4 (1) |  10.7   | gradient | med  | raw (no local calib yet)
  09   | SSW  |     3.1 (1) |   8.9   | gradient | med  | raw (no local calib yet)
  10   | WNW  |     2.5 (1) |   6.0   | gradient | med  | raw (no local calib yet)
  11   | NW   |     1.7 (1) |   7.6   | calm     | med  | glassy
  12   | WNW  |     2.0 (1) |   5.8   | gradient | med  | raw (no local calib yet)
  13   | W    |     3.7 (1) |   8.9   | gradient | med  | raw (no local calib yet)
  14   | WNW  |     4.4 (2) |  13.4   | gradient | med  | raw (no local calib yet)
  15   | WNW  |     3.6 (1) |  11.1   | gradient | med  | raw (no local calib yet)
  16   | NW   |     6.4 (2) |  13.6   | gradient | med  | raw (no local calib yet)
  17   | W    |     4.5 (2) |  13.0   | gradient | med  | raw (no local calib yet)
  18   | NNW  |     7.1 (3) |  14.4   | gradient | med  | raw (no local calib yet)
  19   | NW   |     7.7 (3) |  25.1   | gradient | med  | raw (no local calib yet)
  20   | N    |     2.7 (1) |  14.4   | gradient | med  | raw (no local calib yet)
  21   | ENE  |     1.3 (1) |   5.6   | calm     | med  | glassy
  22   | SE   |     3.3 (1) |   6.6   | gradient | med  | raw (no local calib yet)
  23   | SE   |     2.9 (1) |   6.4   | gradient | med  | raw (no local calib yet)

Kochelsee — 2026-08-01
  dominant gradient; peak 10 kn (3 Bft) SSE ~15h
  Hour | Dir  | Mean kn (Bft) | Gust kn | Regime   | Conf | Note
  00   | S    |     2.1 (1) |   5.1   | gradient | med  | raw (no local calib yet)
  01   | SSW  |     2.6 (1) |   6.2   | gradient | med  | raw (no local calib yet)
  02   | SSE  |     3.2 (1) |   4.5   | gradient | med  | raw (no local calib yet)
  03   | NNW  |     3.0 (1) |   5.1   | gradient | med  | raw (no local calib yet)
  04   | SE   |     4.2 (2) |  10.3   | gradient | med  | raw (no local calib yet)
  05   | SE   |     4.2 (2) |   7.6   | gradient | med  | raw (no local calib yet)
  06   | ESE  |     4.3 (2) |   8.2   | gradient | med  | raw (no local calib yet)
  07   | ESE  |     1.4 (1) |   7.6   | calm     | med  | glassy
  08   | NNE  |     0.8 (0) |   5.8   | calm     | med  | glassy
  09   | W    |     2.2 (1) |   4.7   | gradient | med  | raw (no local calib yet)
  10   | N    |     3.3 (1) |   7.2   | thermal  | med  | raw (no local calib yet)
  11   | N    |     2.7 (1) |   7.8   | gradient | med  | raw (no local calib yet)
